题名,作者,出版社
国富论,"斯密 si mi (Smith, Adam), 1723-1790 著",中南大学出版社
黄金时代,王小波 wang xiao bo 著,上海锦绣文章出版社
计算方法,郑咸义 zheng xian yi 编著,华南理工大学出版社
杰克·韦尔奇给大学生的11条准则,,石油工业出版社
精通MATLAB GUI设计,陈垚光 chen yao guang 编著,电子工业出版社
精通MATLAB神经网络,朱凯 zhu kai 编著,电子工业出版社
科学的历程,吴国盛 wu guo sheng 著,北京大学出版社
理论力学辅导与习题集,高云峰 gao yun feng 编著,清华大学出版社
连城诀,"金庸, jin yong 1924- 著",广州出版社;"花城出版社"
流体动力学,"休斯, xiu si W. F. (Hughes, William F.) 著",科学出版社;"麦格劳-希尔教育出版集团"
流体力学,周光   zhou guang jiong 编著,高等教育出版社
鹿鼎记,"金庸, jin yong 1924- 著",广州出版社;"花城出版社"
鹿鼎记,"金庸, jin yong 1924- 著",广州出版社;"花城出版社"
鹿鼎记,"金庸, jin yong 1924- 著",广州出版社;"花城出版社"
毛泽东评点二十四史领导干部读本,毛泽东 mao ze dong 评点,内蒙古人民出版社
面测,大理 da li 编著,台海出版社
纳米材料和纳米结构,张立德 Zhang Li De 著,科学出版社
凝聚态物理学,冯端 Feng Duan 著,高等敎育出版社
人工神经网络导论,蒋宗礼 jiang zong li 编,高等教育出版社
人生的智慧,"叔本华, shu ben hua, A. (Schopenhauer, Arthur), 1788-1860 著",上海人民出版社
神经网络,侯媛彬 hou yuan bin 编著,西安电子科技大学出版社
圣经故事,"房龙, fang long (Von Loon, Hendrik William), 1882-1944 著",中国国际广播出版社
数据结构,严蔚敏 Yan Wei Min 编著,清华大学出版社
数学分析教程,常庚哲 chang geng zhe 编,高等教育出版社
数学建模竞赛赛题简析与论文点评,赫孝良 he xiao liang 编,西安交通大学出版社
数学模型,《数学模型》编写组 《 shuo xue mu xing 》 bian xie zu 编,华南理工大学出版社
天线,"克劳斯, ke lao si J. D. (Kraus, John D.) 著",电子工业出版社
图解Origin 8.0科技绘图及数据分析,李润明 li run ming 编著,人民邮电出版社
微米/纳米尺度传热学,刘静 LIU JING  编著,科学出版社
文明的冲突与世界秩序的重建,"亨廷顿, hengfting dun, S. P. (Huntington, Samuel P.), 1927- 著",新华出版社
现代光学基础,钟锡华 zhong xi hua 编著,北京大学出版社
现代压电学,张福学 Zhang Fu Xue 主编,科学出版社
线性代数学习指南,居余马 ju yu ma 编著,清华大学出版社
小波的理论与应用,成礼智 Cheng Li Zhi 编著,科学出版社
新型PID控制及其应用,陶永华 tao yong hua 编著,机械工业出版社
信号与系统要点与解题,王霞 wang xia 编著,西安交通大学出版社
一百个人的十年,"冯骥才, feng ji cai 1942-   著",时代文艺出版社
雍正皇帝,"二月河, er yue he , 1945- 著",长江文艺出版社
有限元法基础,李人宪 li ren xian 编著,国防工业出版社
云中命案,"克里斯蒂 Ke Li Si Di (Christie, Agatha), 1890-1976 著",人民文学出版社
张爱玲精选集,"张爱玲, zhang ai ling 1920-1995 著",北京燕山出版社
征服Python,孙广磊 sun guang lei 编著,人民邮电出版社
轴承一转子系统动力学,虞烈 Yu Lie 著,西安交通大学出版社
最优化计算原理与算法程序设计,粟塔山 su ta shan 编著,国防科技大学出版社
最优化技术方法及 MATLAB 的实现,曹卫华 cao wei hua 编,化学工业出版社;"敎材出版中心"
《随机过程》同步学习指导,张卓奎 zhang zhuo kui 编著,西安电子科技大学出版社
ANSYS基础与应用教程,刘相新 Liu Xiang Xin 主编,科学出版社
COMSOL Multiphysics基本操作指南和常见问题解答,马慧 ma hui 主编,人民交通出版社
Fluent技术基础与应用实例,王瑞金 wang rui jin 编著,清华大学出版社
MATLAB/SIMULINK实用教程,张化光 zhang hua guang 编著,人民邮电出版社
MATLAB基础与应用,张平 zhang ping 编著,北京航空航天大学出版社
MATLAB数学计算范例教程,石博强 shi bo qiang 编著,中国铁道出版社
MATLAB遗传算法工具箱及应用,雷英杰 Lei Ying Jie 编著,西安电子科技大学出版社
MFC程序开发参考大全,宋坤 song kun 编著,人民邮电出版社
SPSS for Windows在医学科研统计中的应用,马斌荣 Ma Bin Rong 主编,科学出版社
暗算,"麦家, 1964- 著 mai jia",人民文学出版社
材料分析方法,周玉 Zhou Yu 主编,机械工业出版社
大学物理学习题全解,黄伯坚 huang bo jian 编,电子工业出版社
电磁场理论及应用,"马西奎, ma xi kui, 1958- 编著",西安交通大学出版社
电动力学题解,林璇英 lin xuan ying 编著,科学出版社
电路,邱关源 Qiu Guan Yuan 原著,高等敎育出版社
电路,邱关源 Qiu Guan Yuan 原著,高等敎育出版社
电子技术 (电工学II) 要点与解题,王建华 wang jian hua 编著,西安交通大学出版社
复变函数与积分变换学习指导,盖云英 Gai Yun Ying 编,科学出版社
富爸爸 年轻退休,"清崎, qing qi R. T. (Kiyosaki, R. T.) 著",电子工业出版社
概率论与数理统计例题分析与解题指导,俞钟祺 yu zhong qi 主编,机械工业出版社
高等数学典型题,龚冬保 编,西安交通大学出版社
高等数学典型题精讲,韩云瑞 han yun rui 主编,大连理工大学出版社
高等数学解题方法汇编,韩什元 主编,华南理工大学出版社
高等数学习题全解,陈小柱 chen xiao zhu 编著,大连理工大学出版社
高效能人士的七个习惯,"柯维 ke wei (Covey, Stephen R.) 著",中国青年出版社
古希腊哲学,苗力田 miao li tian 主编,中国人民大学出版社
红手指,"东野圭吾, dong ye gui wu 1958- 著",南海出版公司
基于MATLAB的实用数值计算,石辛民 shi xin min 编著,清华大学出版社;"北京交通大学出版社"
计算方法典型例题分析,"孙志忠, sun zhi zhong 1963- 编著",科学出版社
计算机算法,"霍罗威茨, huo luo wei ci E. (Horowitz, Ellis) 著",机械工业出版社
教父,"普佐 Pu Zuo (Puzo, Mario), 1920-1999 著",译林出版社
近代光学测试技术,杨国光 yang guo guang 主编,浙江大学出版社
近代优化方法,徐成贤 xu cheng xian 编著,科学出版社
科学与工程数值算法,周长发 zhou chang fa 编著,清华大学出版社
昆虫记,"法布尔, fa bu er J. H. (Fabre, Jean Henri), 1823-1915 著",花城出版社
黎曼几何引论,陈维桓 chen wei huan 编著,北京大学出版社
理论力学 (西工大版?哈工大?第六版) 导教?导学?导考,蔡泰信 cai tai xin 编,西北工业大学出版社
猫眼,,接力出版社
女性人生,"林语堂, lin yu tang 1895-1976 著",陕西师范大学出版社
普通物理、大学物理经典名题名师解析,张淳民 Zhang Chun Min 编著,科学出版社
全球通史,"斯塔夫里亚诺斯, Si Ta Fu Li Ya Nuo Si L. S. (Stavrianos, Leften Stavros), 1913- 著",北京大学出版社
撒哈拉的故事,"三毛, san mao 1943-1991 著",北京十月文艺出版社
神经网络,侯媛彬 hou yuan bin 编著,西安电子科技大学出版社
书剑恩仇录,"金庸, Jin Yong 1924- 著 CAL  n2004273360# jt0yjt0y ec0yec0y",广州出版社;"花城出版社"
数学分析讲义,"阿尔希波夫 a er xi bo fu (Архипов, Г. И.) 著",高等敎育出版社
数学分析新讲,张筑生 ZHANG ZHU SHENG 编著,北京大学出版社
数学建模基础,薛毅 lin jian an 主编,北京工业大学出版社
微波工程基础,李宗谦 li zong qian  著,清华大学出版社
希腊神话故事,"施瓦布, shi wa bu (Schwab, Gustav) 1792-1850 著",长江文艺出版社
先进PID控制及其MATLAB仿真,刘金琨 liu jin kun  著,电子工业出版社
现代压电学,张福学 Zhang Fu Xue 主编,科学出版社
线性代数,"居余马 Ju Yuma (数学), 1936- CAL  n2004442077# jt0yjt0y ec0yec0y",淸华大学出版社
线性代数,李启文 Li Qi Wen 编,华中科技大学出版社
线性代数复习指导,陈文灯 chen wen deng  编著,清华大学出版社
线性系统理论,郑大钟 zheng da zhong 著,清华大学出版社
小波的理论与应用,成礼智 Cheng Li Zhi 编著,科学出版社
小波分析理论与MATLAB R2007实现,葛哲学 ge zhe xue 编著,电子工业出版社
信号与系统典型题解,李学桂 li xue gui 编著,清华大学出版社;"北京交通大学出版社"
优化建模与LINDO/LINGO软件,谢金星 xie jin xing 编著,清华大学出版社
幽默人生,"林语堂, lin yu tang 1895-1976 著",陕西师范大学出版社
有机化学习题详解,龚跃法 gong yue fa 编,华中科技大学出版社
有限元法基础,李人宪 li ren xian 编著,国防工业出版社
有限元法基础,李人宪 li ren xian 编著,国防工业出版社
有限元法基础与程序设计,李亚智 Li Ya Zhi 编著,科学出版社
有限元分析的概念与应用,"库克 ku ke (Cook, Robert Davis) 著",西安交通大学出版社
运筹学典型例题与解法,蔡海涛 Cai Hai Tao 编著,国防科技大学出版社
重温微积分,齐民友 qi min you 主编,高等敎育出版社
最新版TOEFL词汇精选,张红岩 zhang hong yan 编著,群言出版社
,"Jacobs, Paul F. (Paul Francis)",
COMSOL Multiphysics有限元法多物理场建模与分析,"齐默尔曼 qi mo er man (Zimmerman, William B. J.) 主编",人民交通出版社
C程序设计,"谭浩强, tan hao qiang 1934- 著",清华大学出版社
FLUENT流体计算应用教程,温正 wen zheng 编著,清华大学出版社
Jane eyre,"勃郎特 Bo Lang Te (Bronten, Carol Oate) 著",广州出版社
Java编程思想,"埃克尔, ai ke er B. (Eckel, Bruce) 著",机械工业出版社
LabVIEW 8.2基础教程,雷振山 lei zhen shan 编著,中国铁道出版社
Linux内核完全剖析,赵炯 zhao jiong 编著,机械工业出版社
MATLAB编程基础与典型应用,刘会灯 Liu Hui Deng 编著,人民邮电出版社
MATLAB从入门到精通,胡晓冬 Hu Xiaodong 编著,人民邮电出版社
MATLAB神经网络仿真与应用,张德丰 zhang de feng 编著,电子工业出版社
MATLAB小波分析高级技术,周伟 zhou wei 主编,西安电子科技大学出版社
MFC Windows程序设计,"普罗西斯, pu luo xi si J. (Prosise, Jeff) 著",清华大学出版社
阿拉伯帝国,默父 Mo Fu 1961- 著,三秦出版社
半导体物理问题与习题,田敬民 Tian Jing Min 编著,国防工业出版社
材料的疲劳,休尔施 XIU ER SHI S. 著,国防工业出版社
材料力学,蔡怀崇 Cai Huai Chong 主编,西安交通大学出版社
电动力学,虞福春 yu fu chun 编著,北京大学出版社
废都,"贾平凹, Jia Ping Wa 1953-  著",文化艺术出版社
覆变函数 (西交大·第四版)·积分变换 (南工·第三版) 全析精解,李建林 Li Jian Lin 编,西北工业大学出版社
概率论与数理统计辅导与习题详解,施雨 shi yu 编著,西安交通大学出版社
高等数学试题解析,王世儒 wang shi ru 编,西安电子科技大学出版社
高等数学试题精选与答题技巧,杨克劭 Yang Ke Shao 主编,哈尔滨工业大学出版社
古今数学思想,"克莱因, Ke Lai Yin (Kline, Morris), 1908-1992 著",上海科学技术出版社
哈利·波特与魔法石,"罗琳, luo lin J. K. (Rowling, J. K.) 著",人民文学出版社
华夏美学,李泽厚 li ze hou 著,天津社会科学院出版社
计量经济学基础,"古扎拉蒂 D. N. (Gujarati, Damodar N.) 著",中国人民大学出版社
解剖学逻辑记忆法,张殿明 Zhang Dian Ming 编著,人民卫生出版社
经济学原理,"曼昆, man kun N. G. (Mankiw, N. Gregory) 著",机械工业出版社
精通MATLAB神经网络,朱凯 zhu kai 编著,电子工业出版社
离散数学,梅家斌 mei jia bin 著,华中科技大学出版社
离散数学,黄健斌 huang jian bin 编著,西安电子科技大学出版社
理论力学辅导与习题集,高云峰 gao yun feng 编著,清华大学出版社
量子力学,苏汝铿 su ru keng 编著,复旦大学出版社
明朝那些事儿,当年明月 dang nian ming yue 著,浙江人民出版社
明朝那些事儿,当年明月 dang nian ming yue 著,浙江人民出版社
魔鬼经济学,"莱维特 Lie Wei Te (Levitt, Steven D.) 著",广东经济出版社
气体放电物理,徐学基 XU XUE JI 编著,复旦大学出版社
曲线与曲面的微分几何,"卡尔莫, ka er mo M. P. d. (Carmo, Manfredo P. do) 著",机械工业出版社
去中国的小船,"村上春树, cun shang chun shu 1949- 著",上海译文出版社
人工神经网络理论、设计及应用,韩力群 han li qun (计算机) 编著,化学工业出版社
人生,"路遥, lu yao 1949-1992 著",北京十月文艺出版社
生活很简单,光亚 guang ya 著,新疆人民出版社
数学建模,刘振航 liu zhen hang 主编,中国人民大学出版社
数学建模,杨启帆 Yang Qifan 编著,浙江大学出版社
数学建模及典型案例分析,李志林 Li Zhi Lin 编著,化学工业出版社
数学建模竞赛,韩中庚 han zhong geng 主编,科学出版社
数学物理方法,胡嗣柱 hu si zhu 编著,高等教育出版社
数值计算方法,郑慧娆 zheng hui rao 编著,武汉大学出版社
数值计算方法解题指导,张韵华 zhang yun hua 编著,科学出版社
数字电路逻辑设计,王毓银 wang yu yin 主编,高等教育出版社
数字信号处理解题指导,张立材 zhang li cai 编著,北京邮电大学出版社
孙子兵法,孙武 Sun Wu 著,光明日报出版社
天龙八部,"金庸, Jin Yong 1925-  著",广州出版社;"花城出版社"
西线无战事,"雷马克, lei ma ke E.M. (Remarque, Erich Maria) 著",译林出版社
线性代数及其应用,"莱, lai D. C. (Lay, David C.) 著",人民邮电出版社
线性代数自学指导与习题精解,魏战线 wei zhan xian 编著,西安交通大学出版社
小波的理论与应用,成礼智 Cheng Li Zhi 编著,科学出版社
笑傲江湖,"金庸, jin yong 1924- 著",广州出版社;"花城出版社"
笑傲江湖,"金庸, jin yong 1924- 著",广州出版社;"花城出版社"
性学三论,"弗洛伊德, fu luo yi de S. (Freud, Sigmund), 1856-1939 著",太白文艺出版社
有限元分析基础篇,夸克工作室 kua ke gong zuo shi 编著,清华大学出版社
有限元分析基础篇,夸克工作室 kua ke gong zuo shi 编著,清华大学出版社
源氏物语,紫式部 zi shi bu 著,云南人民出版社
智能优化算法及其应用,"王凌, Wang Ling 1972- 著",清华大学出版社;"施普林格出版社"
追风筝的人,"侯赛尼 Hou Sai Ni (Hosseini, Khaled), 1965-  著",上海人民出版社
最优化技术方法及 MATLAB 的实现,曹卫华 cao wei hua 编,化学工业出版社;"敎材出版中心"
《随机过程》同步学习指导,张卓奎 zhang zhuo kui 编著,西安电子科技大学出版社
<<数学模型 (第三版)>>习题参考解答,姜启源 jiang qi yuan 编,高等教育出版社
ABAQUS有限元分析实例详解,石亦平 Shi Yi Ping 著,机械工业出版社
ADAMS入门详解与实例,李增刚 li zeng gang 编著,国防工业出版社
ANSYS 11.0基础与典型范例,周长城 zhou chang cheng 编著,电子工业出版社
ANSYS 7.0实例分析与应用,郝文化 hao wen hua 主编,清华大学出版社
Fluent技术基础与应用实例,张凯 zhang kai 编著,清华大学出版社
FLUENT流体计算应用教程,温正 wen zheng 编著,清华大学出版社
MATLAB语言与数学实验,江世宏 Jiang Shi Hong 编著,科学出版社
藏地密码,何马 he ma 著,重庆出版社
常微分方程及其应用,周义仓 Zhou Yi Cang 编,科学出版社
沉默的大多数,"王小波, wang xiao bo 1952-1997 著",上海三联书店
大学物理题典,胡盘新 hu pan xin 主编,上海交通大学出版社
大学物理学习参考,叶宝瑞 ye bao rui 主编,机械工业出版社
电磁场要点与解题,马西奎 ma xi kui 编著,西安交通大学出版社
电磁场与电磁波,冯恩信 feng en xin 编著,西安交通大学出版社
非线性振动,周纪卿 Zhou Ji Qing  编著,西安交通大学出版社
复变函数 (西交大第四版) 积分变换 (东南大学第四版)全程导学及习题全解,靳红 Jin Hong 主编,中国时代经济出版社
复变函数与积分变换,白艳萍 bai yan ping 编著,国防工业出版社
概率论与数理统计学习指导,毛用才 mao yong cai 编,西安电子科技大学出版社
高等数学习题与精解,上海交通大学 shang hai jiao tong da xue 数学系 shu xue xi 编,上海交通大学出版社
高等数学学习辅导与考题解析,黄光谷 huang guang gu 编,华中科技大学出版社
光学,轩植华 Xuan Zhi Hua 编著,科学出版社
哈利·波特与阿兹卡班的囚徒,"罗林 Luolin (Rowling, J. K.) 1965-  著",人民文学出版社
基于运算放大器和模拟集成电路的电路设计,"佛朗哥, fo lang ge S. (Franco, Sergio) 著",西安交通大学出版社
计算方法重点内容重点题,杨泮池 yang pan chi 主编,西安交通大学出版社
计算流体力学,"傅德薰, fu de xun 1935- 编著",高等教育出版社
精通MATLAB神经网络,朱凯 zhu kai 编著,电子工业出版社
矩阵论,方保[rong] fang bao rong 编著,清华大学出版社
理论力学辅导,"贾书惠, jia shu hui 1933- 主编",清华大学出版社
力学,郑永令 zheng yong ling 著,高等教育出版社
麦田里的守望者,"塞林格 Sai Lin Ge J·D· (Salinger, Jerome David), 1919-   著",译林出版社
秘密,东野圭吾 dong ye gui wu 著,海南出版社
名侦探的守则,"东野圭吾, dong ye gui wu 1958-  著",南海出版公司
撒哈拉的故事,"三毛, san mao 1943-1991 著",北京十月文艺出版社
三重门,韩寒 Han Han 著,作家出版社
实分析与复分析,"鲁丁, lu ding W. (Rudin, Walter) 著",机械工业出版社
数学分析习题集精选精解,"吉米多维奇 Ji Mi Duo Wei Qi (Демидович, Б. П.) 原著",山东科学技术出版社
数学建模,寿纪麟 shou ji lin  主编,西安交通大学出版社
数学建模方法及其应用,韩中庚 Han Zhong Geng 编著,高等敎育出版社
数学建模基础知识与案例精选,薛南靑 Xue Nan Qing 主编,山东大学出版社
数学建模竞赛,韩中庚 han zhong geng 主编,科学出版社
数学模型,谭永基 tan yong ji 编著,复旦大学出版社
数学模型与数学建模,陈汝栋 Chen Ru Dong 编著,国防工业出版社
数学物理方程,张渭滨 zhang wei bin 编著,清华大学出版社
数字图像处理,"冈萨雷斯 gang sa lei si (Gonzalez, Rafael C.) 著",电子工业出版社
天黑以后,"村上春树 cun shang chun shu (Murakami, Haruki), 1949-  著",上海译文出版社
天龙八部,"金庸, Jin Yong 1925-  著",广州出版社;"花城出版社"
王小波全集,"王小波, Wang Xiao Bo 1952-1997 著",北京理工大学出版社
微米/纳米尺度传热学,刘静 LIU JING  编著,科学出版社
我的特种生涯,猎鹰 Lie Ying 著,东方出版社
我们仨,杨绛 yang jiang 著,生活?读书?新知三联书店
吾国与吾民,"林语堂, lin yu tang 1895-1976 著",陕西师范大学出版社
物理学难题集萃,舒幼生 shu you sheng 著,高等敎育出版社
侠客行,"金庸, jin yong 1924-  著",广州出版社;"花城出版社"
现代光学基础,钟锡华 zhong xi hua 编著,北京大学出版社
现代信号处理,张贤达 zhang xian da 著,清华大学出版社
线形代数辅导讲义,李永乐 li yong le 编著,国家行政学院出版社
线性代数习题集,史荣昌 Shi Rong Chang 编著,机械工业出版社
小王子,"圣埃克絮佩里, sheng ai ke xu pei li A. de (Saint-Exupery, Saint de), 1900- 著",中国国际广播出版社
信号与系统要点与解题,王霞 wang xia 编著,西安交通大学出版社
有限元原理与ANSYS应用指南,商跃进 shang yue jin 主编,清华大学出版社
粘性流体动力学基础,陈懋章 Chen Mao Zhang 编著,高等教育出版社
中国哲学史,北京大学哲学系 bei jing da xue zhe xue xi 中国哲学教研室 zhong guo zhe xue jiao yan shi 编,北京大学出版社
朱光潜谈美,"朱光潜, zhu guang qian 1897-1986 著",金城出版社
组织病理学彩色图谱,郭幕依 主编,上海医科大学出版社
最优化技术,邓先礼 deng xian li 编著,重庆大学出版社
最优化技术方法及 MATLAB 的实现,曹卫华 cao wei hua 编,化学工业出版社;"敎材出版中心"
ANSYS 11.0基础与实例教程,秦宇 Qin Yu 编著,化学工业出版社
ANSYS 12.0有限元分析完全手册,丁毓峰 ding yu feng 编著,电子工业出版社
Fluent技术基础与应用实例,张凯 zhang kai 编著,清华大学出版社
MATLAB编程基础与典型应用,刘会灯 Liu Hui Deng 编著,人民邮电出版社
MATLAB神经网络仿真与应用,张德丰 zhang de feng 编著,电子工业出版社
半导体物理学,刘恩科 liu en ke  编著,电子工业出版社
尘埃落定,"阿来, A Lai , 1959-  著",人民文学出版社
传热学典型题解析及自测试题,朱惠人 zhu hui ren 主编,西北工业大学出版社
大学音乐,"马西平, ma xi ping 1958-  著",西安交通大学出版社
电工学知识要点与习题解析,姚建红 Yao Jian Hong 主编,哈尔滨工程大学出版社
断裂理论基础,范天佑 fan tian you  著,科学出版社
非线性振动,"刘延柱, liu yan zhu 1936- 编著",高等敎育出版社
非线性最优化,谢政 xie zheng 编著,国防科技大学出版社
高等数学范例祥解祥释,魏平 wei ping 编著,西安交通大学出版社
高等数学辅导,盛祥耀 sheng xiang yao  编,清华大学出版社
工程电磁场导论,冯慈璋 FENG CI ZHANG 主编,高等教育出版社
呼啸山庄,"勃朗特 bo lang te (Bronte, Emily), 1818-1848 著",上海文艺出版社
黄金时代,王小波 wang xiao bo 著,长江文艺出版社
货币金融学,李成 Li Cheng 主编,科学出版社
计量经济学软件EViews使用指南,张晓峒 zhang xiao tong 主编,南开大学出版社
精通MATLAB接口与编程,王世香 wang shi xiang 编著,电子工业出版社
毛泽东自传,"毛泽东, Mao Ze Dong 1893-1976 口述",靑岛出版社
明朝那些事儿,当年明月 dang nian ming yue 著,浙江人民出版社
明朝那些事儿,当年明月 dang nian ming yue 著,浙江人民出版社
牛奶可乐经济学,"弗兰克 Fu Lan Ke (Frank, Robert H.) 著",中国人民大学出版社
潜规则,"吴思, wu si 1957- 著",复旦大学出版社
全球通史,"斯塔夫里阿诺斯, si ta fu li a nuo si L.S. (Stavrianos, L.S.) 著",北京大学出版社
人工神经网络教程,韩力群 Han Li Qun 编著,北京邮电大学出版社
人工神经网络原理及应用,朱大奇 zhu da qi 编著,科学出版社
人性的弱点,"卡内基 Ka Nei Ji (Carnegie, Dale), 1888-1955 著",北京理工大学出版社
如何阅读一本书,"阿德勒 Adele (Adler, Mortimer Jerome), 1902-2001 著 CAL  n2004503909# jt0yjt0y ec0yec0y",商务印书馆
山海经,史礼心 shi li xin 注,华夏出版社
设计模式,"伽玛 Ga Ma (Gamma, Erich) 著",机械工业出版社
神经网络,侯媛彬 hou yuan bin 编著,西安电子科技大学出版社
十天突破雅思写作,慎小嶷 Shen Xiao Yi 著,机械工业出版社
实用小波分析入门,刘涛 Liu Tao 主编,国防工业出版社
数据库系统概念,"西尔伯沙茨, xi er bo sha ci A. (Silberschatz, Abraham) 著",机械工业出版社
数学分析,徐森林 xu sen lin 编著,清华大学出版社
数学分析,徐森林 xu sen lin 编著,清华大学出版社
数学分析讲义,"阿尔希波夫 a er xi bo fu (Архипов, Г. И.) 著",高等敎育出版社
数学分析教程,常庚哲 chang geng zhe 编,高等教育出版社
数学分析教程,常庚哲 chang geng zhe 编,高等教育出版社
数学分析题解精粹,钱吉林 qian ji lin 主编,崇文书局
数学分析习题集精选精解,"吉米多维奇 Ji Mi Duo Wei Qi (Демидович, Б. П.) 原著",山东科学技术出版社
数学建模方法与分析,"米尔斯切特, mi er si qie te (Meerschaert, Mark M.), 1955- 著",机械工业出版社
数字信号处理解题指导,张立材 zhang li cai 编著,北京邮电大学出版社
苏菲的世界,"戈德尔 ge de er (Gaarder, Jostein) 原著",天津科技翻译出版公司
天龙八部,"金庸, Jin Yong 1925-  著",广州出版社;"花城出版社"
通Visual C++图像处理编程,周长发 Zhou Chang Fa 编著,电子工业出版社
图解Origin 8.0科技绘图及数据分析,李润明 li run ming 编著,人民邮电出版社
托马斯微积分,"芬尼, fen ni R. (Finneg, Ross) 著",高等教育出版社
微米/纳米尺度传热学,刘静 LIU JING  编著,科学出版社
文明的冲突与世界秩序的重建,"亨廷顿, hengfting dun, S. P. (Huntington, Samuel P.), 1927- 著",新华出版社
无机化学释疑与习题解析,迟玉兰 chi yu lan 编,高等教育出版社
西方哲学史,"罗素 Luo Su (Russell, Bertrand), 1872-1970 著",重庆出版社
信号与系统,Oppenheim Alan V. 著,西安交通大学出版社
有限元分析,"莫维尼, mo wei ni S. (Moaveni, Saeed) 著",电子工业出版社
战争论,"克劳塞维茨, ke lao se wei ci C. V. (Clausewitz. Carl Von) 著",解放军出版社
脂砚斋全评石头记,"曹雪芹, cao xue qin 1715-1763 著",东方出版社
最优控制的理论与方法,吴沧浦 Wu Cang Pu 编著,国防工业出版社
51单片机C语言应用程序设计实例精讲,戴佳 Dai Jia 编著,电子工业出版社
ABAQUS有限元分析实例详解,石亦平 Shi Yi Ping 著,机械工业出版社
ANSYS 11.0有限元分析理论与工程应用,张朝晖 zhang chao hui 编著,电子工业出版社
ANSYS有限元数值分析原理与工程应用,张波 zhang bo 编著,清华大学出版社
FORTRAN 90程序设计实验指导与测验,白云 bai yun 编著,华东理工大学出版社
Gone with the wind,"米切尔 Mi Qie Er (Mitchell, Margaret) 著",广州出版社
Head First设计模式,"弗里曼 Fu Li Man (Freeman, Eric), 1965- 著",中国电力出版社
MATLAB数学建模与仿真,周品 Zhou Pin 编著,国防工业出版社
MATLAB数值计算方法,张德丰 zhang de feng 编著,机械工业出版社
MATLAB语言与数学实验,江世宏 Jiang Shi Hong 编著,科学出版社
MATLAB原理与工程应用,"马格雷伯, Ma Ge Lei Bo E. (Magrab, Edward B.) 著",电子工业出版社
OpenCV教程,刘瑞祯 liu rui zhen 编著,北京航空航天大学出版社
OpenCV教程,刘瑞祯 liu rui zhen 编著,北京航空航天大学出版社
Origin 8.0实用指南,方安平 fang an ping 编著,机械工业出版社
SPSS 15.0统计分析从入门到精通,刘大海 liu da hai 编著,清华大学出版社
Visual C++数字图像处理开发入门与编程实践,左飞 zuo fei 编著,电子工业出版社
Visual C++数字图像处理开发入门与编程实践,左飞 zuo fei 编著,电子工业出版社
操作系统考研指导,曾平 Zeng Ping 编著,清华大学出版社
电磁场与电磁波,杨儒贵 yang ru gui 著,高等教育出版社
电磁场与电磁波 (第2版) 学习辅导,冯恩信 feng en shen 编著,西安交通大学出版社
电磁学与电动力学,刘金英 liu jin ying 编著,科学出版社
电工技术 (电工学I) 要点与解题,刘晔 liu ye 编著,西安交通大学出版社
电化学方法,"巴德 Ba De (Bard, Allen J.), 著",化学工业出版社
电路同步辅导,孙学芳 Sun Xue Fang 主编,航空工业出版社
多相流及其应用,车得福 Che De Fu 编著,西安交通大学出版社
复变函数及应用,"布朗, bu lang J. W. (Brown, James Ward) 著",机械工业出版社
概率论与数理统计,李贤平 li xian ping 编著,复旦大学出版社
高等数学辅导,盛祥耀 sheng xiang yao  编,清华大学出版社
高等数学试题精选与答题技巧,杨克劭 Yang Ke Shao 主编,哈尔滨工业大学出版社
高效能人士的七个习惯,"柯维 ke wei (Covey, Stephen R.) 著",中国青年出版社
工程热力学,,高等教育出版社
功能材料学概论,马如璋 ma ru zhang 主编,冶金工业出版社
固体物理学基础教程,沈以赴 Shen Yi Fu 编著,化学工业出版社
诡辩,"张晓芒, zhang xiao mang 1955-  著",企业管理出版社
基于Quartus II的FPGA/CPLD数字系统设计实例,周润景 zhou run jing 编著,电子工业出版社
计算流体力学,"傅德薰, fu de xun 1935- 编著",高等教育出版社
经济学原理,,三联书店;"北京大学出版社"
精通MATLAB GUI设计,陈垚光 chen yao guang 编著,电子工业出版社
菊与刀,"本尼迪克特 ben ni di ke te (Benedict, Ruth), 1887-1948 著",当代世界出版社
矩阵计算,,科学出版社
矩阵论,方保[rong] fang bao rong 编著,清华大学出版社
离散数学,梅家斌 mei jia bin 著,华中科技大学出版社
理论力学辅导,"贾书惠, jia shu hui 1933- 主编",清华大学出版社
理论力学辅导与习题集,高云峰 gao yun feng 编著,清华大学出版社
流体力学要点与解题,张志政 zhang zhi zheng 编著,西安交通大学出版社
论语今读,"李泽厚, li ze hou 1930- 著",三联书店
芒果街上的小屋,"西斯内罗斯 Xi Si Nei Luo Si (Cisneros, Sandra), 1954- 著",译林出版社
毛泽东的读书生活,龚育之 Gong Yu Zhi 著,三联书店
美国之鹰,折鸿雁 Zhe Hong Yan 主编,西安交通大学出版社
鸟哥的Linux私房菜,鸟哥 Niaoge 著,人民邮电出版社
偏微分方程的MATLAB解法,陆君安 lu jun an 编著,武汉大学出版社
倾城之恋,"张爱玲, zhang ai ling 1920-1995 著",北京十月文艺出版社
全球通史,"斯塔夫里亚诺斯, Si Ta Fu Li Ya Nuo Si L. S. (Stavrianos, Leften Stavros), 1913- 著",北京大学出版社
人性的弱点,"卡内基 Ka Nei Ji (Carnegie, Dale) 著",上海三联书店
