题名,作者,出版社
数值分析典型题解析及自测试题,车刚明 che gang ming 编著,西北工业大学出版社
复变函数,孙清华 Sun Qing Hua 著,华中科技大学出版社
复变函数与积分变换学习辅导与习题选解,李红 li hong 编,高等教育出版社
覆变函数全程学习指导,谭欣欣 tan xin xin 编著,大连理工大学出版社
概率论与数理统计典型题,龚冬保 Gong Dong Bao 编著,西安交通大学出版社
概率论与数理统计辅导,傅维潼 Fu Wei Tong 编,清华大学出版社
数值分析典型题解析及自测试题,车刚明 che gang ming 编著,西北工业大学出版社
Ansoft工程电磁场有限元分析,刘国强 liu guo qiang 编著,电子工业出版社
覆变函数全程学习指导,谭欣欣 tan xin xin 编著,大连理工大学出版社
离散数学学?练?考,王海艳 wang hai yan 主编,清华大学出版社
英语词汇的奥秘,蒋争 Jiang Zheng 著 A9531929,中国国际广播出版社
大学物理核心概念和题例详解,梁励芬 liang li fen 编著,复旦大学出版社
大学物理解题指导,王莱 wang lai 编,天津大学出版社
富爸爸穷爸爸,"清崎 Qingqi (Kiyosaki, Robert T.), 1947- 著 CAL  n2004524432# jt0yjt0y ec0yec0y",南海出版公司
高等数学解题方法和技巧,陈文灯 Chen Wen deng 编著,中国财政经济出版社
流体力学,景思睿 Jing Si Rui 编著,西安交通大学出版社
通用有限元分析ANSYS 7.0实例精解,倪栋 ni dong 编著,电子工业出版社
ANSYS基础应用及范例解析,龚曙光 Gong Shu Guang 主编,机械工业出版社
大学物理解题指导,王莱 wang lai 编,天津大学出版社
复变函数·积分半换,李建林 li jian lin 编,西北工业大学出版社
概率论与数理统计典型题详解,陈跃 Chen Ti 主编,机械工业出版社
离散数学及其应用,"Roscn Kenneth H. (Kenneth H.Roscn), 著",机械工业出版社
流体力学,周光   zhou guang jiong 编著,高等教育出版社
数学模型,姜启源 jiang qi yuan 编,高等教育出版社
新编概率论与数理统计题解,赵德修 zhao de xiu 编,华中理工大学出版社
ANSYS操作命令与参数化编程,龚曙光 Gong Shu Guang 编著,机械工业出版社
大学物理学习指导,阴其俊 yin qi jun 编著,华东理工大学出版社
电路典型题解,向国菊 xiang guo ju 编著,清华大学出版社
理论力学重点难点及典型题精解,周纪卿 Zhou Ji Qing 编著,西安交通大学出版社
围城,,人民文学出版社
ANSYS 8.0结构分析及实例解析,张朝晖 zhang zhao hui 主编,机械工业出版社
MATLAB 7.0编程基础,王家文 Wang Jia Wen 编著,机械工业出版社
大学基础物理习题精解,金仲辉 jin zhong hui 主编,科学出版社
大学物理典型题解题方法,王国光 wang guo guang 主编,科学出版社
复变函数与积分变换学习辅导与习题选解,李红 li hong 编,高等教育出版社
高等数学,同济大学 tong ji da xue 应用数学系 ying yong shu xue xi 主编,高等敎育出版社
高等应用数学问题的MATLAB求解,"薛定宇, xue ding yu 1963-  著",清华大学出版社
理论力学重点难点及典型题精解,周纪卿 Zhou Ji Qing 编著,西安交通大学出版社
平凡的世界,"路遙, lu yao 1949-1992 著",人民文学出版社
数学建模,梁国业 liang guo ye 编著,冶金工业出版社
高等数学辅导,邹本腾 Zou Ben Teng 主编,机械工业出版社
嫌疑人X的献身,东野圭吾 dong ye gui wu 著,南海出版公司
笑傲江湖,"金庸, jin yong 1924- 著",广州出版社;"花城出版社"
<<工程电磁场导论>>习题详解,王仲奕 wang zhong yi 编,西安交通大学出版社
ANSYS 8.0工程结构实例分析,赵海峰 Zhao Hai Feng 编著,中国铁道出版社
MATLAB 7.0从入门到精通,求是科技 qiu shi ke ji 编著,人民邮电出版社
放学后,东野圭吾 dong ye gui wu 著,南海出版公司
高等数学习题课讲义,,高等敎育出版社
经济学原理,"曼昆 man kun (Mankiw, N. Gregory) 著",北京大学出版社
亮剑,都梁 du liang 著,解放军文艺出版社
新概念物理教程,赵凯华 zhao kai hua 编写,高等敎育出版社
ANSYS工程应用教程,刘国庆 liu guo qing 编著,中国铁道出版社
巴黎圣母院,"雨果,  yu guo V. (Hugo, Victor) 1802-1885 著",北京燕山出版社
大学物理学 (第二版) 学习指导与习题解答,张三慧 zhang san hui 编著,清华大学出版社
电工电子技术重点难点详解,王建华 wang jian hua 编著,西安交通大学出版社
概率论与数理统计,陈希孺 Chen Xi Ru 编著 A9802315,科学出版社;"中国科学技术大学出版社"
高等数学例题与习题集,石建城 shi jian cheng 编,西安交通大学出版社
红岩,"罗广斌, luo guang bin 著",中国靑年出版社
理论力学重点难点及典型题精解,周纪卿 Zhou Ji Qing 编著,西安交通大学出版社
流体力学,周光   zhou guang jiong 编著,高等教育出版社
数值分析典型题解析及自测试题,车刚明 che gang ming 编著,西北工业大学出版社
算法导论,"科曼 ke man (Cormen, Thomas H.) 著",机械工业出版社
算法导论,"科曼 ke man (Cormen, Thomas H.) 著",机械工业出版社
线性代数辅导与典型题解析,魏战线 Wei Zhan Xian 编著,西安交通大学出版社
<<工程电磁场导论>>习题详解,王仲奕 wang zhong yi 编,西安交通大学出版社
Java编程思想,埃克尔 ai ke er B. 著,机械工业出版社
Mathematica全书,"沃尔夫雷姆 wo er fu lei mu S. (Wolfram, S.) 著",西安交通大学出版社
大学物理核心概念和题例详解,梁励芬 liang li fen 编著,复旦大学出版社
大学物理解题指导,王莱 wang lai 编,天津大学出版社
大学物理学,张三慧 zhang san hui 主编,清华大学出版社
道德经,老子 lao zi 著,安徽人民出版社
国富论,"斯密 si mi (Smith, Adam), 1723-1790 著",新世界出版社
康熙大帝,二月河， er yue he 1945- 著,长江文艺出版社
射雕英雄传,"金庸, Jin Yong 1924-  著",广州出版社;"花城出版社"
小波与傅里叶分析基础,"博格斯, bo ge si A. (Boggess, Albert) 著",电子工业出版社
大学物理解题能力训练,余虹 YU HONG 主编,大连理工大学出版社
大学物理习题集,刘宏清 liu hong qing 主编,科学技术文献出版社
高等代数解题方法与技巧,李师正 Li Shi Zheng 主编,高等敎育出版社
理论力学学习辅导,程靳 cheng jin 主编,高等教育出版社
人性的弱点全集,"卡耐基, Ka Nai Ji 戴尔 著",中国城市出版社
天龙八部,"金庸, Jin Yong 1925-  著",广州出版社;"花城出版社"
嫌疑人X的献身,东野圭吾 dong ye gui wu 著,南海出版公司
信号与系统,Oppenheim Alan V. 著,西安交通大学出版社
Ansoft工程电磁场有限元分析,刘国强 liu guo qiang 编著,电子工业出版社
Ansoft工程电磁场有限元分析,刘国强 liu guo qiang 编著,电子工业出版社
高等数学解题方法和技巧,陈文灯 Chen Wen deng 编著,中国财政经济出版社
高等数学习题集,韩松 han song 主编,机械工业出版社
数学分析中的典型问题与方法,裴礼文 pei li wen 编著,高等教育出版社
数学建模,袁震东 yuan zhen dong 编著,华东师范大学出版社
天龙八部,"金庸, Jin Yong 1925-  著",广州出版社;"花城出版社"
线性代数复习指导,马杰 Ma Jie 主编,机械工业出版社
MATLAB 7.0从入门到精通,求是科技 qiu shi ke ji 编著,人民邮电出版社
MATLAB基础与编程入门,张威 zhang wei 编,西安电子科技大学出版
复变函数知识要点与习题解析,苑延华 Yuan Yan Hua 主编,哈尔滨工程大学出版社
概率论与数理统计 (浙大·第二版),赵选民 zhao xuan min 主编,西北工业大学出版社
概率论与数理统计习题详解,李裕奇 Li Yu Qi 编,西南交通大学出版社
高等数学辅导,邹本腾 Zou Ben Teng 主编,机械工业出版社
红与黑,"斯丹达尔,  si dan da e (Stendhal) 1783-1842 著",北京燕山出版社
飘,"米切尔, mi qie er M. (Mitchell, Margaret) 著",天津科技翻译出版公司
数学分析原理,"鲁丁, lu ding W. (Rudin, Walter) 著",机械工业出版社
GRE GMAT LSAT逻辑推理,陈向东 chen xiang dong 编著,世界知识出版社
弹性力学,,高等教育出版社
概率论与数理统计典型例题与解法,蔡海涛 cai hai tao 编著,国防科技大学
海边的卡夫卡,"村上春树, Cun Shang Chun Shu 1949- 著",上海译文出版社
算法导论,"科曼 ke man (Cormen, Thomas H.) 著",机械工业出版社
张量分析,黄克智 Huang Ke Zhi 编著,清华大学出版社
正确写作美国大学生数学建模竞赛论文,"贝朗格 bei lang ge (Belanger, Jay) 著",高等教育出版社
ANSYS工程应用范例入门与提高,张朝晖 zhang zhao hui 主编,清华大学出版社
复变函数与积分变换,杨战民 yang zhan min 主编,西安电子科技大学出版社
高等代数解题方法与技巧,李师正 Li Shi Zheng 主编,高等敎育出版社
国富论,"斯密 si mi (Smith, Adam), 1723-1790 著",上海三联书店
海边的卡夫卡,"村上春树, Cun Shang Chun Shu 1949- 著",上海译文出版社
货币战争,宋鸿兵 song hong bing 编著,中信出版社
计算方法典型例题与解法,高培旺 gao pei wang 编著,国防科技大学出版社
美的历程,"李泽厚, Li Zehou 1930- 著 CAL  n2004113091# jt0yjt0y ec0yec0y",天津社会科学院出版社
平凡的世界,"路遙, lu yao 1949-1992 著",人民文学出版社
射雕英雄传,"金庸, Jin Yong 1924-  著",广州出版社;"花城出版社"
数学分析教程,常庚哲 chang geng zhe 编,高等教育出版社
数学模型,谭永基 tan yong ji 编著,复旦大学出版社
围城,钱钟书 qian zhong shu 著,人民文学出版社
现代操作系统,"坦尼鲍姆, tan ni bao mu Andrew S. (Tanenbaum,A.S.) 著",机械工业出版社
线性代数辅导与典型题解析,魏战线 Wei Zhan Xian 编著,西安交通大学出版社
运筹学典型题解析及自测试题,梁工谦 liang gong qian 主编,西北工业大学出版社
张量分析,黄克智 Huang Ke Zhi 编著,清华大学出版社
电动力学题解,林璇英 lin xuan ying 编著,科学出版社
高等代数与解析几何习题精解,陈志杰 chen zhi jie 编,科学出版社
高等数学双博士课堂,邹本腾 zou ben teng 主编,机械工业出版社
工科数学分析学习指导,白红 Bai Hong 编著,科学出版社
计算方法典型例题与解法,高培旺 gao pei wang 编著,国防科技大学出版社
罗杰疑案,"克里斯蒂 Ke Li Si Di (Christie, Agatha), 1890-1976 著",人民文学出版社
山居笔记,余秋雨 yu qiu yu 著,文汇出版社
射雕英雄传,"金庸, Jin Yong 1924-  著",广州出版社;"花城出版社"
数学分析解题指南,林源渠 lin yuan qu 编著,北京大学出版社
数学分析学习指导,裘兆泰 qiu zhao tai 编,科学出版社
数学建模实验,周义仓 zhou yi cang 编,西安交通大学出版社
西方哲学史,"希尔贝克, xi er bei ke G. (Skirbekk, Gunnar), 1937- 著",上海译文出版社
象的失踪,村上春树 cun shang chun shu 著,漓江出版社
血酬定律,吴思 wu si 著,中国工人出版社
ANSYS 8.0结构分析及实例解析,张朝晖 zhang zhao hui 主编,机械工业出版社
C++ Primer Plus中文版,"普拉塔 Pu La Ta S. (Prata, Stephen) 著",人民邮电出版社
C++ Primer中文版,"李普曼 li pu man (Lippman, Stanley B.) 著",人民邮电出版社
MATLAB 7.0从入门到精通,求是科技 qiu shi ke ji 编著,人民邮电出版社
MATLAB数据处理与应用,李强 li qiang 编著,国防工业出版社
东方快车谋杀案,"克里斯蒂 ke li si di (Christie, Agatha), 1890-1976 著",人民文学出版社
复变函数·积分半换,李建林 li jian lin 编,西北工业大学出版社
高等代数解题方法与技巧,李师正 Li Shi Zheng 主编,高等敎育出版社
高等数学辅导,邹本腾 zou ben teng 主编,机械工业出版社
高等数学中的典型问题与解法,西北工业大学 xi bei gong ye da xue 高等数学敎研室 编,同济大学出版社
工程数学,王绵森 Wang Mian Sen 编,高等教育出版社
国富论,"斯密 Si mi (Smith, Adam), 1723-1790 著",华夏出版社
计算方法,邓建中 deng jian zhong 编著,西安交通大学出版社
计算方法教程,"凌永祥, ling yong xiang 1946-  著",西安交通大学出版社
数学分析中的典型问题与方法,裴礼文 pei li wen 编著,高等教育出版社
数学建模,梁国业 liang guo ye 编著,冶金工业出版社
数学建模竞赛赛题简析与论文点评,赫孝良 he xiao liang 编,西安交通大学出版社
数学建模优秀案例选编,,华南理工大学出版社
线性代数习题集,王萼芳 Wang E Fang 编著,清华大学出版社
有限元分析,"莫维尼, mo wei ni S. (Moaveni, Saeed) 著",电子工业出版社
51系列单片机及C51程序设计,王建校 wang jian jiao 编著,科学出版社
C++ Primer中文版,"李普曼 li pu man (Lippman, Stanley B.) 著",人民邮电出版社
Mathematica应用实例教程,嘉木工作室 Jia Mu Gong Zuo Shi 编著,机械工业出版社
MATLAB信号处理详解,陈亚勇 chen ya yong 编著,人民邮电出版社
"读大学, 究竟读什么",覃彪喜 qin biao xi 著,南方日报出版社
复变函数与积分变换,李红 li hong 著,高等敎育出版社;"施普林格出版社"
固体物理概念题和习题指导,王矜奉 wang jin feng 编著,山东大学出版社
计算方法,邓建中 deng jian zhong 编著,西安交通大学出版社
精通MFC程序设计,姚领田 编著 yao ling tian,人民邮电出版社
明朝那些事儿,当年明月 dang nian ming yue 著,中国友谊出版公司
且听风吟,"村上春树, Cunshang Chunshu 1949- 著 CAL  n2004121006# jt0yjt0y ec0yec0y",上海译文出版社
射雕英雄传,"金庸, Jin Yong 1924-  著",广州出版社;"花城出版社"
神雕侠侣,"金庸, Jin Yong 1924-  著",广州出版社;"花城出版社"
遗传算法原理及应用,周明 zhou ming 编著,国防工业出版社
自动控制原理,张爱民 zhang ai min 编著,清华大学出版社
ANSYS 7.0有限元分析实用教程,张亚欧 zhang ya ou 编著,清华大学出版社
ANSYS工程应用范例入门与提高,张朝晖 zhang zhao hui 主编,清华大学出版社
工科数学分析习题与例题解析,孙清华 sun qing hua [著],华中科技大学出版社
货币战争,宋鸿兵 song hong bing 编著,中信出版社
计算方法学习指导,陈延梅 chen yan mei 编,科学出版社
流体力学,景思睿 Jing Si Rui 编著,西安交通大学出版社
鸟哥的Linux私房菜,鸟哥 niao ge 编著,人民邮电出版社
挪威的森林,"村上春树 cun shang chun shu (Murakami Haruki), 1949- 著",上海译文出版社
神经网络理论与MATLAB R2007实现,葛哲学 ge zhe xue 编著,电子工业出版社
数学分析,陈纪修 chen ji xiu 编著,高等教育出版社
数学分析习题精解,吴良森 wu liang sen 编著,科学出版社
数学建模,袁震东 yuan zhen dong 编著,华东师范大学出版社
数学建模的理论与实践,吴翊 编著 wu xu,国防科技大学出版社
我与地坛,史铁生 shi tie sheng 著,春风文艺出版社
倚天屠龙记,"金庸, Jin Yong 1925-  著",广州出版社;"花城出版社"
第二十二条军规,"海勒 hai le J. (Heller, Joseph) 著",译林出版社
电工电子技术重点难点详解,王建华 wang jian hua 编著,西安交通大学出版社
复变函数知识要点与习题解析,苑延华 Yuan Yan Hua 主编,哈尔滨工程大学出版社
概率论与数理统计典型例题与解法,蔡海涛 cai hai tao 编著,国防科技大学
高等数学双博士课堂,邹本腾 zou ben teng 主编,机械工业出版社
高等数学双博士课堂,邹本腾 zou ben teng 主编,机械工业出版社
固体物理概念题和习题指导,王矜奉 wang jin feng 编著,山东大学出版社
固体物理基础,"阎守胜,  Yan Shou Sheng 1938- 编著",北京大学出版社
计算流体动力学分析,"王福军, wang fu jun 1964-  编著",清华大学出版社
