题名,作者,出版社
去中国的小船,村上春树,上海译文出版社
人生,路遥,北京十月文艺出版社
生活很简单,光亚,新疆人民出版社
数学建模竞赛,韩中庚,科学出版社
数值计算方法,郑慧娆,武汉大学出版社
数字电路逻辑设计,王毓银,高等教育出版社
数字信号处理解题指导,张立材,北京邮电大学出版社
西线无战事,雷马克,译林出版社
线性代数及其应用,莱,人民邮电出版社
性学三论,弗洛伊德,太白文艺出版社
源氏物语,紫式部,云南人民出版社
智能优化算法及其应用,王凌,"清华大学出版社;""施普林格出版社"""
ABAQUS有限元分析实例详解,石亦平,机械工业出版社
ANSYS 7.0实例分析与应用,郝文化,清华大学出版社
藏地密码,何马,重庆出版社
常微分方程及其应用,周义仓,科学出版社
沉默的大多数,王小波,上海三联书店
大学物理学习参考,叶宝瑞,机械工业出版社
电磁场与电磁波,冯恩信,西安交通大学出版社
非线性振动,周纪卿,西安交通大学出版社
复变函数 (西交大第四版) 积分变换 (东南大学第四版)全程导学及习题全解,靳红,中国时代经济出版社
复变函数与积分变换,白艳萍,国防工业出版社
哈利·波特与阿兹卡班的囚徒,罗林,人民文学出版社
基于运算放大器和模拟集成电路的电路设计,佛朗哥,西安交通大学出版社
计算流体力学,傅德薰,高等教育出版社
矩阵论,方保[rong],清华大学出版社
麦田里的守望者,塞林格,译林出版社
名侦探的守则,东野圭吾,南海出版公司
三重门,韩寒,作家出版社
实分析与复分析,鲁丁,机械工业出版社
数学分析习题集精选精解,吉米多维奇,山东科学技术出版社
数学建模,寿纪麟,西安交通大学出版社
数学建模方法及其应用,韩中庚,高等敎育出版社
数学建模基础知识与案例精选,薛南靑,山东大学出版社
数学模型与数学建模,陈汝栋,国防工业出版社
数字图像处理,冈萨雷斯,电子工业出版社
天黑以后,村上春树,上海译文出版社
王小波全集,王小波,北京理工大学出版社
我的特种生涯,猎鹰,东方出版社
我们仨,杨绛,生活?读书?新知三联书店
吾国与吾民,林语堂,陕西师范大学出版社
现代信号处理,张贤达,清华大学出版社
线形代数辅导讲义,李永乐,国家行政学院出版社
线性代数习题集,史荣昌,机械工业出版社
有限元原理与ANSYS应用指南,商跃进,清华大学出版社
粘性流体动力学基础,陈懋章,高等教育出版社
中国哲学史,北京大学哲学系,北京大学出版社
朱光潜谈美,朱光潜,金城出版社
组织病理学彩色图谱,郭幕依,上海医科大学出版社
最优化技术,邓先礼,重庆大学出版社
ANSYS 11.0基础与实例教程,秦宇,化学工业出版社
ANSYS 12.0有限元分析完全手册,丁毓峰,电子工业出版社
半导体物理学,刘恩科,电子工业出版社
大学音乐,马西平,西安交通大学出版社
断裂理论基础,范天佑,科学出版社
高等数学范例祥解祥释,魏平,西安交通大学出版社
高等数学辅导,盛祥耀,清华大学出版社
呼啸山庄,勃朗特,上海文艺出版社
黄金时代,王小波,长江文艺出版社
货币金融学,李成,科学出版社
计量经济学软件EViews使用指南,张晓峒,南开大学出版社
精通MATLAB接口与编程,王世香,电子工业出版社
毛泽东自传,毛泽东,靑岛出版社
牛奶可乐经济学,弗兰克,中国人民大学出版社
潜规则,吴思,复旦大学出版社
全球通史,斯塔夫里阿诺斯,北京大学出版社
人性的弱点,卡内基,北京理工大学出版社
山海经,史礼心,华夏出版社
设计模式,伽玛,机械工业出版社
十天突破雅思写作,慎小嶷,机械工业出版社
实用小波分析入门,刘涛,国防工业出版社
数据库系统概念,西尔伯沙茨,机械工业出版社
数学分析题解精粹,钱吉林,崇文书局
托马斯微积分,芬尼,高等教育出版社
无机化学释疑与习题解析,迟玉兰,高等教育出版社
西方哲学史,罗素,重庆出版社
战争论,克劳塞维茨,解放军出版社
脂砚斋全评石头记,曹雪芹,东方出版社
最优控制的理论与方法,吴沧浦,国防工业出版社
51单片机C语言应用程序设计实例精讲,戴佳,电子工业出版社
ANSYS有限元数值分析原理与工程应用,张波,清华大学出版社
FORTRAN 90程序设计实验指导与测验,白云,华东理工大学出版社
Gone with the wind,米切尔,广州出版社
Head First设计模式,弗里曼,中国电力出版社
MATLAB数学建模与仿真,周品,国防工业出版社
MATLAB数值计算方法,张德丰,机械工业出版社
MATLAB原理与工程应用,马格雷伯,电子工业出版社
OpenCV教程,刘瑞祯,北京航空航天大学出版社
SPSS 15.0统计分析从入门到精通,刘大海,清华大学出版社
Visual C++数字图像处理开发入门与编程实践,左飞,电子工业出版社
操作系统考研指导,曾平,清华大学出版社
电磁场与电磁波,杨儒贵,高等教育出版社
电磁场与电磁波 (第2版) 学习辅导,冯恩信,西安交通大学出版社
电磁学与电动力学,刘金英,科学出版社
电工技术 (电工学I) 要点与解题,刘晔,西安交通大学出版社
电化学方法,巴德,化学工业出版社
电路同步辅导,孙学芳,航空工业出版社
多相流及其应用,车得福,西安交通大学出版社
功能材料学概论,马如璋,冶金工业出版社
固体物理学基础教程,沈以赴,化学工业出版社
诡辩,张晓芒,企业管理出版社
经济学原理,,"三联书店;""北京大学出版社"""
菊与刀,本尼迪克特,当代世界出版社
矩阵计算,,科学出版社
流体力学要点与解题,张志政,西安交通大学出版社
论语今读,李泽厚,三联书店
芒果街上的小屋,西斯内罗斯,译林出版社
毛泽东的读书生活,龚育之,三联书店
美国之鹰,折鸿雁,西安交通大学出版社
倾城之恋,张爱玲,北京十月文艺出版社
人性的弱点,卡内基,上海三联书店
陕西行知书,豆豆,广东旅游出版社
社会研究方法,巴比,华夏出版社
世界是平的,弗里德曼,湖南科学技术出版社
数据结构与算法分析,魏斯,人民邮电出版社
数学建模与数学实验,赵静,高等教育出版社
数学思维理论,任樟辉,广西敎育出版社
数值计算解题方法与同步训练,同济大学,同济大学出版社
微观经济学,瓦里安,"上海三联书店;""上海人民出版社"""
我不是教你诈,刘墉,接力出版社
西方哲学笔记,张祥龙,北京大学出版社
线性代数与解析几何,郑广平,复旦大学出版社
乡土中国,费孝通,江苏文艺出版社
信号与系统,海金,电子工业出版社
许三观卖血记,余华,作家出版社
有限元分析,布坎南,"科学出版社;""麦格劳-希尔教育出版集团"""
有限元分析基础,,武汉大学出版社
1Q84,村上春树,南海出版公司
ANSYS 11.0结构与热力学有限元分析实例指导教程,王建江,机械工业出版社
Fluent高级应用与实例分析,江帆,清华大学出版社
Fortran语言课程辅导与习题解析,龙瀛,人民邮电出版社
Mathematica软件与数学教学,梁浩云,华南理工大学出版社
MATLAB 2009从入门到精通,崔智全,中国铁道出版社
MATLAB 7.0实用宝典,景振毅,中国铁道出版社
MATLAB 7.0图形图像处理,王家文,国防工业出版社
MATLAB使用详解,董霖,电子工业出版社
MATLAB数值分析与应用,张德丰,国防工业出版社
MFC编程技巧与范例详解,曾凡锋,清华大学出版社
Origin 7.5入门与提高,张昌松,化学工业出版社
Origin 8.0应用实例详解,于成龙,化学工业出版社
安徒生童话全集,安徒生,清华大学出版社
编码的奥秘,佩措尔德,机械工业出版社
楚留香传奇,古龙,珠海出版社
大学物理学习指导与解题指南,王莉,机械工业出版社
道德经,李湘雅,人民文学出版社
电力电子技术,王兆安,机械工业出版社
概率论与数理统计辅导及习题精解,张天德,中国社会出版社
概率论与数理统计要点与解题,龚冬保,西安交通大学出版社
格林童话全集,格林,清华大学出版社
工程热力学,何雅玲,西安交通大学出版社
工程热力学总复习,童钧耕,上海交通大学出版社
海边的卡夫卡,村上春树,上海译文出版社
界面化学基础,朱[bu]瑤,化学工业出版社
经济学的思维方式,海涅,世界图书出版公司北京公司
锂离子电池,吴宇平,化学工业出版社
烈火如歌,明晓溪,新世界出版社
美丽与哀愁,刘兰芳,东方出版社
女法医手记,王雪梅,中国检察出版社
人生关系学,和仁,西北大学出版社
深入理解计算机系统,布赖恩特,中国电力出版社
胜利女神,折鸿雁,西安交通大学出版社
世界优秀统计工具SPSS 11统计分析教程,张文彤,北京希望电子出版社
数学模型方法及应用,熊启才,重庆大学出版社
数字信号处理,郑南宁,清华大学出版社
王小波作品精编,王小波,漓江出版社
微观经济学,平代克,中国人民大学出版社
我所知道的慈禧太后,叶赫那拉·根正,金城出版社
无机化学典型题解析及自测试题,岳红,西北工业大学出版社
物理化学学习指导,傅玉普,大连理工大学出版社
物理学教程 (《物理学》第四版·改编版) 导教·导学·导考,黄海清,西北工业大学出版社
西点军校的经典法则,杨立军,学林出版社
现代社会心理学,周晓虹,上海人民出版社
小波变换与工程应用,彭玉华,科学出版社
新编FORTRAN 90程序设计教程,白云,北京交通大学出版社
雪国·古都,川端康成,译林出版社
有限单元法,薛守义,中国建材工业出版社
中国历代政治得失,钱穆,三联书店
资本论,马克思,人民日报出版社
资本战争,马丁,天津敎育出版社
ANSYS工程结构数值分析,王新敏,人民交通出版社
C++基础教程,马利克,清华大学出版社
C++面向对象程序设计,谭浩强,清华大学出版社
FLUENT——流体工程仿真计算实例与应用,韩占忠,北京理工大学出版社
FORTRAN完全自学手册,陈科,机械工业出版社
MATLAB从入门到精通,丁毓峰,化学工业出版社
Matlab时频分析技术及其应用,葛哲学,人民邮电出版社
MATLAB实用教程,郑阿奇,电子工业出版社
Patran从入门到精通,刘兵山,中国水利水电出版社
PSpice电路设计实用教程,李永平,国防工业出版社
Visual C++开发入门与编程实践,屈磊,电子工业出版社
包法利夫人,福楼拜,长江文艺出版社
不能承受的生命之轻,昆德拉,上海译文出版社
纯粹理性批判,康德,中国人民大学出版社
大学物理辅导,曹文斗,天津大学出版社
代数数论,冯克勤,科学出版社
弹性固体中波的传播,阿肯巴克,同济大学出版社
电磁场与电磁波习题精解,焦其祥,科学出版社
电动力学,罗春荣,西安交通大学出版社
风流才子纪晓岚,李建良,长春出版社
高等数学全程辅导,陈洪明,中国建材工业出版社
高等数学同步辅导,曹铁川,大连理工大学出版社
工程材料科学与设计,谢弗,机械工业出版社
固体物理,韦丹,清华大学出版社
固体物理教程,王矜奉,山东大学出版社
哈利·波特与「混血王子」,罗林,人民文学出版社
混沌七鉴,布里格斯,上海科技教育出版社
计量经济学导论,伍尔德里奇,中国人民大学出版社
精通Verilog HDL语言编程,刘波,电子工业出版社
抗美援朝,张笑天,吉林摄影出版社
量子力学习题精解,吴强,科学出版社
流体力学及其工程应用,芬尼莫尔,机械工业出版社
流体力学题解,张也影,北京理工大学出版社
梦的解析,弗洛伊德,光明日报出版社
男人来自火星 女人来自金星,格雷,重庆出版社
普通物理学 (第五版) 习题分析与解答,胡盘新,高等敎育出版社
热力学·统计物理,汪志诚,高等教育出版社
人性的弱点全集,卡耐基,中国致公出版社
人与自我,夏中义,广西师范大学出版社
世界尽头与冷酷仙境,村上春树,译文出版社
数值计算方法和算法,张韵华,科学出版社
算法竞赛入门经典,刘汝佳,清华大学出版社
随机过程典型题解析及自测试题,潘高田,西北工业大学出版社
图论导引,韦斯特,机械工业出版社
微机原理与接口技术要点与解题,马瑞芳,西安交通大学出版社
西方的智慧,罗素,中国妇女出版社
线性代数复习指导,马杰,机械工业出版社
新托福考试口语专项突破模拟试题,泰德时代新托福考试研究中心,中国人民大学出版社
新型功能材料,贡长生,化学工业出版社
信号与系统,乐正友,清华大学出版社
在路上,凯鲁亚克,上海译文出版社
智能控制理论和方法,李人厚,西安电子科技大学出版社
周易正宗,马恒君,华夏出版社
Fluent 12流体分析及工程仿真,朱红钧,清华大学出版社
MATLAB神经网络应用设计,傅荟璇,机械工业出版社
Moment in Peking,林语堂,外语敎学与硏究出版社
SGI STL源码剖析,候捷,华中科技大学出版社
暗算,麦家,作家出版社
半导体物理与器件,尼曼,电子工业出版社
博弈论,麦凯恩,机械工业出版社
布局天下,饶胜文,解放军出版社
测度论与概率论基础,程士宏,北京大学出版社
楚留香传奇,古龙,当代世界出版社
大自然如何工作,巴克,华中师范大学出版社
电机学,菲茨杰拉德,电子工业出版社
分子模拟的理论与实践,陈正隆,化学工业出版社
芙蓉镇,古华,人民文学出版社
复变函数·积分变换,李建林,西北工业大学出版社
傅里叶变换,冷建华,清华大学出版社
工程热力学学习指导,武淑萍,中国电力出版社
固体理论讲义,丁大同,南开大学出版社
花凋,张爱玲,江苏文艺出版社
基于神经网络的智能诊断,虞和济,冶金工业出版社
计算机视觉,福赛思,电子工业出版社
精通MATLAB,王正林,电子工业出版社
理论力学典型题解析及自测试题,和兴锁,西北工业大学出版社
流体力学,丁祖荣,高等教育出版社
麦肯锡方法,拉塞尔,华夏出版社
美学三书,李泽厚,安徽文艺出版社
女心理师,毕淑敏,重庆出版社
偏微分方程教程,阿斯马尔,机械工业出版社
汽轮机与燃气轮机原理及应用,黄庆宏,东南大学出版社
枪炮、病菌与钢铁,戴蒙德,上海译文出版社
社会心理学,迈尔斯,人民邮电出版社
圣经故事,刘意靑,中国对外翻译出版公司
圣女的救济,东野圭吾,当代世界出版社
书剑恩仇录,金庸,"广州出版社;""花城出版社"""
数据库原理典型题解析及自测试题,王亚平,西北工业大学出版社
数学分析习题及其解答,邹应,武汉大学出版社
数字电子技术基础,阎石,高等敎育出版社
数字图像处理,Castleman,电子工业出版社
数字信号处理基础及MATLAB实现,周辉,"中国林业出版社;""北京希望电子出版社"""
数字信号处理学习指导与题解,丁玉美,电子工业出版社
围城,钱钟书,三联书店
物理化学 (第五版) 全程导学及习题全解,于文静,中国时代经济出版社
希腊诸神传,斯菲罗亚,国际文化出版公司
线性代数典型例题与解法,甘志雄,国防科技大学出版社
线性代数与解析几何,杨奇,天津大学出版社
相对论,爱因斯坦,北京出版社
新托福考试写作剖析及真题范文,包凡一,群言出版社
一个陌生女人的来信,茨威格,上海译文出版社
应用STATA做统计分析,汉密尔顿,重庆大学出版社
赢在心态,卡耐基,海潮出版社
有限单元法及程序设计,刘尔烈,天津大学出版社
<<无机及分析化学>>习题精解与学习指南,黄蔷蕾,高等教育出版社
C++面向对象程序设计,萨维茨基,清华大学出版社
FORTRAN语言程序设计,,中国电力出版社
MATLAB 7.0/Simulink 6.0建模仿真开发与高级工程应用,黄永安,清华大学出版社
MATLAB 7.6从入门到精通,张琨,电子工业出版社
MATLAB数值分析,周品,机械工业出版社
MATLAB数值分析与应用,宋叶志,机械工业出版社
SPSS统计分析实例精选,蔡建琼,清华大学出版社
Visual C++程序设计自学手册,宋坤,人民邮电出版社
半导体物理学,刘恩科,西安交通大学出版社
编程之道,詹姆斯,电子工业出版社
博弈论与信息经济学,张维迎,"上海人民出版社;""上海三联书店"""
拆掉思维里的墙,古典,中国书店
传热学,章熙民,中国建筑工业出版社
弹性力学学习方法及解题指导,王俊民,同济大学出版社
电磁场与电磁波典型题解析及自测试题,赵家升,西北工业大学出版社
电动力学学习指导与习题详解,郭芳侠,陕西师范大学出版社
电力电子系统建模及控制,徐德鸿,机械工业出版社
电路原理,江缉光,清华大学出版社
飞狐外传,金庸,"广州出版社;""花城出版社"""
概率论与数理统计指导,鲍兰平,清华大学出版社
高等量子力学,喀兴林,高等敎育出版社
高等数学,林源渠,机械工业出版社
高等数学典型题精讲,,大连理工大学出版社
高等数学典型题题典,刘坤林,东北大学出版社
高等数学难题解题方法选讲,孙洪祥,机械工业出版社
古墓之谜,克里斯蒂,人民文学出版社
古希腊罗马神话与传奇,舒维普,广西师范大学出版社
关于女人,卡内基,延边人民出版社
国史大纲,钱穆,商务印书馆
活着,余华,作家出版社
计算流体力学及其并行算法,王承尧,国防科技大学出版社
矩阵分析与应用,张贤达,清华大学出版社
快速傅里叶变换及其C程序,蒋长锦,中国科学技术大学出版社
老子今注今译,陈鼓应,商务印书馆
离散数学引论,王义和,哈尔滨工业大学出版社
理论力学要点与解题,韩省亮,西安交通大学出版社
力学,朗道,高等敎育出版社
量子电动力学,格雷纳,北京大学出版社
潜伏,龙一,百花洲文艺出版社
十天突破雅思写作,慎小嶷,机械工业出版社
世界上最神奇的24堂课,哈内尔,新世界出版社
数据结构题集,严蔚敏,清华大学出版社
数学模型与计算,赵东方,科学出版社
数学物理方程,季孝达,科学出版社
数字集成电路,拉贝,电子工业出版社
唐人故事,王小波,中国档案出版社
天才在左 疯子在右,高铭,武汉大学出版社
统计物理学,苏汝铿,高等敎育出版社
统计学,贾俊平,清华大学出版社
微积分题解,周泰文,华中科技大学出版社
微积分学教程,菲赫金哥尔茨,高等敎育出版社
线性代数习题集,王庆成,科学技术文献出版社
线性代数专题分析与解题指导,赵慧斌,北京大学出版社
悬崖山庄奇案,克里斯蒂,人民文学出版社
遗传算法及其应用,陈国良,人民邮电出版社
艺伎回忆录,戈尔登,上海译文出版社
有机化学学习指导,朱红军,化学工业出版社
有限元方法及其应用,李开泰,科学出版社
中华中篇小说百年精华,中国社会科学院,人民文学出版社
组合数学,卢开澄,清华大学出版社
ANSYS 12.0有限元分析与范例解析,王金龙,机械工业出版社
LATEX入门与提高,陈志杰,高等敎育出版社
MATLAB/Simulink建模与仿真实例精讲,张德丰,机械工业出版社
TI DSP集成化开发环境 (CCS) 使用手册,美国德州仪器公司,清华大学出版社
碧血剑,金庸,"广州出版社;""花城出版社"""
邊城,沈从文,岳麓书社出版社
材料分析测试技术,周玉,哈尔滨工业大学出版社
材料科学基础,赵品,哈尔滨工业大学出版社
材料力学,刘鸿文,高等敎育出版社
常微分方程,蓬特里亚金,高等敎育出版社
聪明的投资者,格雷厄姆,人民邮电出版社
弹性理论基础,陆明万,清华大学出版社
等离子体粒子模拟,邵福球,科学出版社
邓小平文选,邓小平,人民出版社
电化学教程,郭鹤桐,天津大学出版社
电机的DSP控制技术及其应用,谢宝昌,北京航空航天大学出版社
电力系统暂态分析,李光琦,中国电力出版社
复变函数,杨纶标,科学出版社
高等数学解题方法技巧归纳,毛纲源,华中科技大学出版社
光学,蔡履中,山东大学出版社
混沌与秩序,克拉默,上海科技敎育出版社
基础拓扑学,阿姆斯特朗,人民邮电出版社
记住你是谁,韦德曼,商务印书馆
晶体物理学基础,陈纲,科学出版社
朗文 外研社新概念英语,Alexander,"外语敎学与研究出版社;""朗文出版亚洲有限公司"""
离散数学常见题型解析及模拟题,傅彦,西北工业大学出版社
漫步华尔街,马尔基尔,机械工业出版社
美国,中央电视台,中国民主法制出版社
普京大传,丁志可,中国档案出版社
人性记录,克里斯蒂,人民文学出版社
神经网络,史忠植,高等敎育业出版社
圣经故事,马克斯威尔,上海译文出版社
实变函数内容、方法与技巧,孙清华,华中科技大学出版社
数学分析的方法与题解,赵显曾,陕西师范大学出版社
涡旋压缩机及其它涡旋机械,顾兆林,陕西科学技术出版社
无人生还,克里斯蒂,贵州人民出版社
物理化学学习指南,高盘良,高等教育出版社
西方哲学十五讲,张志伟,北京大学出版社
小波分析及其工程应用,杨建国,机械工业出版社
新托福考试听力胜经,许杨,群言出版社
一口气读完日本史,孙秀玲,京华出版社
遗传算法的数学基础,张文修,西安交通大学出版社
荧光分析法,许金钩,科学出版社
优化理论与方法,万仲平,武汉大学出版社
有机化学,杨悟子,华东理工大学出版社
运筹学习题集,胡运权,清华大学出版社
运筹学与最优化Matlab编程,吴祈宗,机械工业出版社
自动控制原理全程导学及习题全解,王莹莹,中国时代经济出版社
最优化原理、方法及求解软件,阳明盛,科学出版社
 信号与系统 解题指南,胡光锐,科学出版社
《结构力学》学习指导及题解大全,包世华,武汉理工大学出版社
ANSYS 7.0分析实例与工程应用,邢静忠,机械工业出版社
C++程序设计彻底研究,张耀仁,中国铁道出版社
C陷阱与缺陷,凯尼格,人民邮电出版社
C语言入门经典,霍顿,清华大学出版社
MATLAB 6.5辅助小波分析与应用,飞思科技产品研发中心,电子工业出版社
MATLAB 7.0从入门到精通,刘保柱,人民邮电出版社
MATLAB 7.0控制系统应用与实例,刘叔军,机械工业出版社
MATLAB语言实用教程,马莉,清华大学出版社
MATLAB在控制系统中的应用,张静,电子工业出版社
Python基础教程,赫特兰,人民邮电出版社
SPSS统计应用实务,吴明隆,科学出版社
白鹿原,陈忠实,长江文艺出版社
北京法源寺,李敖,中国友谊出版公司
贝叶斯统计,茆诗松,中国统计出版社
冰与火之歌,马丁,重庆出版社
材料分析方法,周玉,机械工业出版社
材料力学学习指导与解题指南,范钦珊,清华大学出版社
初等数论,潘承洞,北京大学出版社
初等数论,闵嗣鹤,高等教育出版社
磁性材料,田民波,清华大学出版社
大秦帝国,孙皓晖,河南文艺出版社
大学英语6级考试710分阅读理解,徐广联,华东理工大学出版社
电路 (第五版) 习题解析,王仲奕,西安交通大学出版社
费恩曼物理学讲义,范曼,上海科学技术出版社
富爸爸投资指南,清崎,电子工业出版社
概率论和数理统计,梅长林,西安交通大学出版社
高等代数,丘维声,高等敎育出版社
固体本构关系,黄克智,清华大学出版社
固体理论,李正中,高等敎育出版社
固体物理学,陈长乐,科学出版社
光学,,高等教育出版社
国富论,斯密,新世界出版社
呼兰河传,萧红,陕西师范大学出版社
计量经济学导论,,中国人民大学出版社
进化计算,,国防科技大学出版社
经济学原理,马歇尔,南海出版公司
了不起的盖茨比,菲茨杰拉德,上海三联书店
离散数学,孙吉贵,高等教育出版社
锂离子电池,郭炳,中南大学出版社
量子力学教程,曾谨言,科学出版社
卢梭忏悔录,卢梭,华文出版社
命若琴弦,史铁生,江苏文艺出版社
啤酒谋杀案,克里斯蒂,人民文学出版社
品三国前传之汉代风云人物,易中天,东方出版社
群论及其在固体物理中的应用,徐婉棠,高等敎育出版社
人人博弈论,王则柯,中信出版社
神经计算智能基础,靳蕃,西南交通大学出版社
实变函数论,徐森林,中国科学技术大学出版社
实分析与泛函分析,匡继昌,高等教育出版社
数学建模方法与分析,米尔斯切特,机械工业出版社
谈话技巧,斋藤茂太,科学出版社
天地有大美,法默,上海科技敎育出版社
微观经济学十八讲,平新乔,北京大学出版社
温柔一刀,,广西人民出版社
问卷设计手册,董明伟,中国时代经济出版社
物理化学解题指南,陈平初,高等敎育出版社
乡土中国,费孝通,北京出版社
小波十讲,多布,国防工业出版社
月亮与六便士,毛姆,上海译文出版社
怎样读五线谱,李重光,湖南文艺出版社
张量分析,田宗若,西北工业大学社出版社
资本论,马克思,三联书店
自动控制理论,沈传文,西安交通大学出版社
70天攻克考研英语阅读,江涛,石油工业出版社
ANSYS应用实例与分析,邢静忠,科学出版社
C++面向对象多线程编程,休斯,人民邮电出版社
DSP集成开发环境CCS使用指南,尹勇,北京航空航天大学出版社
Inventor 10中文版机械设计高级应用实例,胡仁喜,机械工业出版社
Jane Eyre,勃朗特,大连理工大学出版社
Java程序设计语言,阿诺德,人民邮电出版社
LabVIEW 8.20中文版编程及应用,刘刚,电子工业出版社
MATLAB R2007基础教程,刘慧颖,清华大学出版社
MATLAB在时间序列分析中的应用,张善文,西安电子科技大学出版社
MFC程序设计轻松入门,欧阳志宏,人民邮电出版社
SPSS在统计分析中的应用,朱建平,清华大学出版社
The count of Monte Cristo,大仲马,大连理工大学出版社
TOEFL词汇词根＋联想记忆法,俞敏洪,世界图书出版公司
TOEFL词组,王玉梅,北京世界图书出版公司
UNIX环境高级编程,,人民邮电出版社
Visual C++数字图像处理典型算法及实现,求是科技,人民邮电出版社
爱的艺术,弗罗姆,光明日报出版社
表面、界面和胶体,迈尔斯,"化学工业出版社;""材料科学与工程出版中心"""
差分方程和常微分方程,阮炯,复旦大学出版社
常微分方程,焦宝聪,清华大学出版社
超大规模集成电路与系统导论,尤耶缪拉,电子工业出版社
当我谈跑步时，我谈些什么,村上春树,南海出版公司
电力电子应用技术的MATLAB仿真,林飞,中国电力出版社
恶意,,南海出版公司
泛函分析,胡适耕,"高等教育出版社;""施普林格出版社"""
高等电磁理论,傅君眉,西安交通大学出版社
高等数学,龚冬保,西安交通大学出版社
高等数学辅导,盛祥耀,华大学出版社
固体物理简明教程,蒋平,复旦大学出版社
固体物理学,房晓勇,哈尔滨工业大学出版社
光学,王楚,北京大学出版社
黑天鹅,塔勒布,中信出版社
厚黑学全本,李宗吾,群言出版社
换热器原理与设计,余建祖,北京航空航天大学出版社
黄河鬼棺,南派三叔,文汇出版社
基础德语,王志强,同济大学出版社
"金刚经;""心经"";""坛经""",陈秋平,中华书局
局外人,加缪,浙江文艺出版社
看绝望的主妇 学地道美语,屈文生,机械工业出版社
狼道,罗宇,中国纺织出版社
理论力学思考题解,程靳,高等敎育出版社
力学,舒幼生,北京大学出版社
量子计算和量子信息,尼尔森,清华大学出版社
量子力学,皮莱格,科学出版社
路遙精选集,路遙,北京燕山出版社
论人类不平等的起源,卢梭,九州出版社
罗马十二帝王传,苏维托尼乌斯,商务印书馆
麦田里的守望者,塞林格,译林出版社
蛮荒记,树下野狐,新星出版社
梦的释义,弗洛伊德,新世界出版社
模拟电子技术基础,杨拴科,高等教育出版社
飘,米切尔,译林出版社
实变函数与泛函分析,郭懋正,北京大学出版社
数据分析与科学绘图软件ORIGIN详解,王秀峰,化学工业出版业
数据库系统概论,萨师煊,高等敎育出版社
数学考研教程,龚冬保,西安交通大学出版社
数学模型应用实例,杨桂元,合肥工业大学出版社
数学物理方程,戴嘉尊,东南大学出版社
数值计算方法学习指导,刘玲,科学出版社
数字电子技术要点与解题,张锡赓,西安交通大学出版社
陶哲轩实分析,陶哲轩,人民邮电出版社
瓦尔登湖,梭罗,当代世界出版社
外科医生,王晓方,作家出版社
微分方程数值解法,余德浩,科学出版社
微分流形初步,陈维桓,高等教育出版社
"围城;""人·兽·鬼""",钱钟书,生活读书新知三联书店
现代控制理论,张嗣瀛,清华大学出版社
现代控制理论习题集,高立群,清华大学出版社
线性代数辅导及习题精解,胡一鸣,中国社会出版社
心灵简史,汉弗莱,中国友谊出版公司
学习OpenCV,布拉德斯基,清华大学出版社
一夜盛开如玫瑰,池莉,中国文联出版社
仪器分析,武汉大学化学系,高等教育出版社
应用弹塑性力学,徐秉业,清华大学出版社
英语背诵范文精华,谭卫国,华东理工大学出版社
有限元基础教程,曾攀,高等教育出版社
原子核物理,卢希庭,原子能出版社
制冷与空调装置,袁秀玲,西安交通大学出版社
自动控制理论例题习题集·考研试题解析,翁贻方,机械工业出版社
80天攻克雅思,何佳韦,石油工业出版社
ANSYS 11.0有限元分析入门与提高,胡国良,国防工业出版社
ANSYS工程结构实用案例分析,李卫民,化学工业出版社
C语言编程,科汉,电子工业出版社
Fortran 95/2003程序设计,查普曼,中国电力出版社
Head first servlets & JSP,巴沙姆,中国电力出版社
Linux操作系统内核实习,纳特,机械工业出版社
MATLAB 7.0在图像处理中的应用,罗军辉,机械工业出版社
MATLAB GUI设计学习手记,罗华飞,北京航空航天大学出版社
MATLAB从入门到精通,周建兴,人民邮电出版社
MATLAB图像处理与界面编程宝典,秦襄培,电子工业出版社
傲慢与偏见,奥斯丁,世界图书出版公司
半导体器件物理,施敏,西安交通大学出版社
博弈论经典,库恩,中国人民大学出版社
城南旧事,林海音,人民文学出版社
春,巴金,人民文学出版社
弹性力学题解,刘小明,华中科技大学出版社
弹性力学与张量分析,郭日修,高等教育出版社
邓小平文选,邓小平,人民出版社
电机学,阎治安,西安交通大学出版社
复变函数论,张锦豪,"高等教育出版社;""施普林格出版社"""
傅雷家书,傅敏,天津社会科学院出版社
概率论与数理统计习题全解,王丽燕,大连理工大学出版社
钢铁是怎样炼成的,奥斯特洛夫斯基,内蒙古大学出版社
高等数学(同济四版)考点精析与习题全解,翁晓龙,光明日报出版社
高等数学习题精解精析,田勇,科学技术文献出版社
高效能人士的50个习惯,胡宝林,万卷出版公司
工程陶瓷材料,,西安交通大学出版社
国富论,斯密,武汉大学出版社
哈利·波特与凤凰社,罗林,人民文学出版社
零下一度,韩寒,万卷出版公司
流体力学,张鸣远,高等教育出版社
流体力学学习辅导与习题精解,蔡增基,中国建筑工业出版社
美国文化背景,戴特斯曼,世界图书出版公司
梦的解析,弗洛伊德,北京出版社
模拟电子技术基础,华成英,高等敎育出版社
彷徨之刃,东野圭吾,南海出版社
培养男子汉,曼斯菲尔德,海潮出版社
人工智能,尼尔森,机械工业出版社
日本,中央电视台,中国民主法制出版社
社会契约论,卢梭,北京出版社
社会网络分析方法,斯科特,重庆大学出版社
社会心理学,阿伦森,中国轻工业出版社
