题名,作者,出版社
MATLAB基础与编程入门,张威,西安电子科技大学出版
复变函数知识要点与习题解析,苑延华,哈尔滨工程大学出版社
概率论与数理统计 (浙大·第二版),赵选民,西北工业大学出版社
概率论与数理统计习题详解,李裕奇,西南交通大学出版社
红与黑,斯丹达尔,北京燕山出版社
飘,米切尔,天津科技翻译出版公司
数学分析原理,鲁丁,机械工业出版社
GRE GMAT LSAT逻辑推理,陈向东,世界知识出版社
弹性力学,,高等教育出版社
概率论与数理统计典型例题与解法,蔡海涛,国防科技大学
海边的卡夫卡,村上春树,上海译文出版社
张量分析,黄克智,清华大学出版社
正确写作美国大学生数学建模竞赛论文,贝朗格,高等教育出版社
ANSYS工程应用范例入门与提高,张朝晖,清华大学出版社
国富论,斯密,上海三联书店
货币战争,宋鸿兵,中信出版社
计算方法典型例题与解法,高培旺,国防科技大学出版社
美的历程,李泽厚,天津社会科学院出版社
数学分析教程,常庚哲,高等教育出版社
数学模型,谭永基,复旦大学出版社
现代操作系统,坦尼鲍姆,机械工业出版社
运筹学典型题解析及自测试题,梁工谦,西北工业大学出版社
电动力学题解,林璇英,科学出版社
高等代数与解析几何习题精解,陈志杰,科学出版社
高等数学双博士课堂,邹本腾,机械工业出版社
工科数学分析学习指导,白红,科学出版社
罗杰疑案,克里斯蒂,人民文学出版社
山居笔记,余秋雨,文汇出版社
数学分析解题指南,林源渠,北京大学出版社
数学分析学习指导,裘兆泰,科学出版社
数学建模实验,周义仓,西安交通大学出版社
西方哲学史,希尔贝克,上海译文出版社
象的失踪,村上春树,漓江出版社
血酬定律,吴思,中国工人出版社
C++ Primer Plus中文版,普拉塔,人民邮电出版社
C++ Primer中文版,李普曼,人民邮电出版社
MATLAB数据处理与应用,李强,国防工业出版社
高等数学辅导,邹本腾,机械工业出版社
高等数学中的典型问题与解法,西北工业大学,同济大学出版社
工程数学,王绵森,高等教育出版社
国富论,斯密,华夏出版社
计算方法,邓建中,西安交通大学出版社
计算方法教程,凌永祥,西安交通大学出版社
数学建模竞赛赛题简析与论文点评,赫孝良,西安交通大学出版社
数学建模优秀案例选编,,华南理工大学出版社
有限元分析,莫维尼,电子工业出版社
51系列单片机及C51程序设计,王建校,科学出版社
Mathematica应用实例教程,嘉木工作室,机械工业出版社
MATLAB信号处理详解,陈亚勇,人民邮电出版社
"读大学, 究竟读什么",覃彪喜,南方日报出版社
复变函数与积分变换,李红,"高等敎育出版社;""施普林格出版社"""
固体物理概念题和习题指导,王矜奉,山东大学出版社
精通MFC程序设计,姚领田,人民邮电出版社
明朝那些事儿,当年明月,中国友谊出版公司
神雕侠侣,金庸,"广州出版社;""花城出版社"""
遗传算法原理及应用,周明,国防工业出版社
自动控制原理,张爱民,清华大学出版社
ANSYS 7.0有限元分析实用教程,张亚欧,清华大学出版社
工科数学分析习题与例题解析,孙清华,华中科技大学出版社
计算方法学习指导,陈延梅,科学出版社
鸟哥的Linux私房菜,鸟哥,人民邮电出版社
挪威的森林,村上春树,上海译文出版社
神经网络理论与MATLAB R2007实现,葛哲学,电子工业出版社
数学分析,陈纪修,高等教育出版社
数学分析习题精解,吴良森,科学出版社
数学建模的理论与实践,吴翊,国防科技大学出版社
我与地坛,史铁生,春风文艺出版社
倚天屠龙记,金庸,"广州出版社;""花城出版社"""
第二十二条军规,海勒,译林出版社
固体物理基础,阎守胜,北京大学出版社
计算流体动力学分析,王福军,清华大学出版社
量子力学:导论,格赖纳,北京大学出版社
数值分析学习辅导·习题解析,李红,华中科技大学出版社
孙子兵法,孙武,光明日报出版社
小波分析及其应用,孙延奎,机械工业出版社
小王子,圣埃克苏佩里,上海译文出版社
信号与系统,郑君里,高等教育出版社
<<数学模型 (第三版)>>习题参考解答,姜启源,高等教育出版社
MATLAB 程序设计与应用,刘卫国,高等敎育出版社
Origin实用教程(7.5版),周剑平,西安交通大学出版社
材料力学重点难点及典型题精解,闵行,西安交通大学出版社
复变函数与积分变换,哈尔滨工业大学,科学出版社
高等数学复习指南,陈兰祥,学苑书店
厚黑学全集,李宗吾,九州出版社
哭泣的骆驼,三毛,哈尔滨出版社
数学分析习题课讲义,谢惠民,高等敎育出版社
小说月报第9届百花奖入围作品集,,百花文艺出版社
有机化学典型题解析及自测试题,管萍,西北工业大学出版社
有机化学例题与习题,裴伟伟,高等敎育出版社
竹取物语,佚名氏,云南人民出版社
《电磁场与电磁波》(第3版)教学指导书,赵家升,高等教育出版社
电磁学千题解,张之翔,科学出版社
高等数学学习辅导,张利凯,科学技术文献出版社
鬼车,郑渊洁,学苑出版社
红楼梦,曹雪芹,人民文学出版社
激荡三十年,吴晓波,中信出版社
计算方法典型例题分析,孙志忠,科学出版社
乐理教程,张巍,武汉测绘科技大学出版社
数学物理方法学习指导,姚端正,科学出版社
微分几何讲义,陈省身,北京大学出版社
线性代数与空间解析几何典型题,龚东保,西安交通大学出版社
有限元分析软件,博嘉科技,中国水利水电出版社
运筹学试题精选与答题技巧,徐永仁,哈尔滨工业大学出版社
父亲进城,石钟山,群众出版社
工程电磁场导论,冯慈璋,高等教育出版社
工科数学理论与方法的复习与提高,洪潮兴,华南理工大学出版社
红与黑,司汤达,人民文学出版社
理论力学 (西工大版?哈工大?第六版) 导教?导学?导考,蔡泰信,西北工业大学出版社
理论力学解题指导及习题,柳祖亭,机械工业出版社
量子力学基础,关洪,高等敎育出版社
热工基础与应用,傅秦生,西安交通大学出版社
数学建模技术,谢兆鸿,中国水利水电出版社
数值传热学,陶文铨,西安交通大学出版社
ANSYS 10.0电磁学有限元分析实例指导教程,孙明礼,机械工业出版社
